DATE,Demand (MW),Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Demand_lag24,Demand_roll24,Predicted Demand
2024-01-28 02:00:00,714.7917011588008,1,11,-0.65,44,2,7,1,0,0.0,0.0,726.6997335654493,794.4720041715118,714.7917011588008
2024-01-28 03:00:00,695.3340698658845,1,11,-0.61,44,3,7,1,0,0.0,0.0,713.333384279976,794.5354092531999,695.3340698658845
2024-01-28 04:00:00,712.117320502762,1,7,0.05,60,4,7,1,0,3.1,0.0,716.4600970583981,793.6168863317862,712.117320502762
2024-01-28 05:00:00,728.5026943048292,1,6,0.05,65,5,7,1,0,2.1,0.0,734.7082142089893,792.6346735619502,728.5026943048292
2024-01-28 06:00:00,735.3562278225498,1,6,0.01,65,6,7,1,0,2.1,0.0,743.5099977418961,791.9821821081648,735.3562278225498
2024-01-28 07:00:00,757.1148337813304,1,6,-0.65,62,7,7,1,0,2.1,0.0,789.7294699975346,789.6181281005568,757.1148337813304
2024-01-28 08:00:00,765.2832845789408,1,4,-1.15,69,8,7,1,0,1.5,0.0,813.1086441381257,787.1836146067831,765.2832845789408
2024-01-28 09:00:00,765.685719139311,1,4,-1.11,70,9,7,1,0,1.5,0.0,812.3395067536809,785.1376919035336,765.685719139311
2024-01-28 10:00:00,752.4950318665913,1,4,-1.75,66,10,7,1,0,2.6,0.0,808.4630654389371,783.2778072818106,752.4950318665913
2024-01-28 11:00:00,761.7966448731555,1,3,-2.25,67,11,7,1,0,3.6,0.0,779.557285548682,782.1011875565023,761.7966448731555
2024-01-28 12:00:00,764.5437644306032,1,3,-2.21,67,12,7,1,0,4.1,0.0,769.9239898654688,781.7478247307496,764.5437644306032
2024-01-28 13:00:00,766.320946597613,1,2,-2.85,69,13,7,1,0,4.6,0.0,761.3121495217026,781.8883297267887,766.320946597613
2024-01-28 14:00:00,748.2083620275068,1,4,-2.25,62,14,7,1,0,5.1,0.0,760.9354544592695,782.1224815588906,748.2083620275068
2024-01-28 15:00:00,746.539864921769,1,4,-2.21,62,15,7,1,0,5.7,0.0,753.2885223478494,781.9016050232236,746.539864921769
2024-01-28 16:00:00,756.5097722782288,1,9,-1.15,49,16,7,1,0,3.6,0.0,777.1080500360785,780.5725534965146,756.5097722782288
2024-01-28 17:00:00,762.2556676879864,1,12,-1.75,39,17,7,1,0,2.1,0.0,791.1053148702412,779.0683994707748,762.2556676879864
2024-01-28 18:00:00,832.6812936004526,1,12,-1.7100000000000002,39,18,7,1,0,2.1,0.0,855.5320573075991,775.012904269922,832.6812936004526
2024-01-28 19:00:00,881.7783597203468,1,15,-1.75,31,19,7,1,0,1.5,0.0,896.2512047160634,772.2489950909824,881.7783597203468
2024-01-28 20:00:00,898.3291524050481,1,15,-1.75,31,20,7,1,0,2.1,0.0,900.5729662754659,771.4318382842381,898.3291524050481
2024-01-28 21:00:00,891.2210772883187,1,15,-1.7100000000000002,32,21,7,1,0,2.1,0.0,892.7148967055218,771.6759363581305,891.2210772883187
2024-01-28 22:00:00,868.357876035772,1,17,-2.25,26,22,7,1,0,2.1,0.0,868.1223427883886,772.6802291624753,868.357876035772
2024-01-28 23:00:00,809.6504229653685,1,17,-2.25,27,23,7,1,0,2.6,0.0,821.4471245559924,774.7198270529007,809.6504229653685
2024-01-29 00:00:00,740.6354436619118,1,17,-2.21,27,0,1,1,0,2.6,0.0,774.1063790746404,776.2652202655408,740.6354436619118
